,LCoGS Composite,SAO Density,Surgical Volume,POMR
area_km2,0.06278804,0.008121591,0.059238657,0.049920596
dist_nearest_bellwether_km,0.17198087,0.06957307,0.04012093,0.050795395
econ_gdp_pc_log,0.01877912,0.010535975,0.03115522,0.034010157
esgoto_pct,0.028092807,0.006862841,0.043103065,0.048822273
hc_proxy,0.04077723,0.040465288,0.03776398,0.046275266
health_bellwether_density,0.036997598,0.012654707,0.03392619,0.046084367
health_infra,0.13813826,0.3669132,0.037725065,0.036782395
idhm,0.030110136,0.060244974,0.040362563,0.050049398
idhm_educacao,0.03585764,0.002968344,0.04201749,0.044241443
idhm_longevidade,0.024303697,0.01000344,0.043732706,0.06854402
idhm_renda,0.02576628,0.1237116,0.039606635,0.044813905
ifgf_autonomia,0.015412092,0.035411987,0.024954224,0.044133686
ifgf_geral,0.011702798,0.007803136,0.016773518,0.0394538
ifgf_investimentos,0.012754336,0.004373252,0.017016346,0.03979954
log_pop,0.073771805,0.02221177,0.11210356,0.045297
pop_density,0.023140999,0.04636271,0.038162593,0.04333055
sc_proxy,0.025246106,0.097589076,0.039546404,0.04709877
sus_dependence_pct,0.034969077,0.009467985,0.060643993,0.06885921
tech_proxy,0.018144395,0.0005325821,0.02499388,0.03898871
urban_density_log,0.045200102,0.020590506,0.09140433,0.0612438
veiculos_per_1000,0.12606663,0.043602016,0.12564869,0.05145564
