cod_ibge_original,year_valid_from,cod_ibge_2023,harmonization_type
1100015,2015,1100015,stable
1100023,2015,1100023,stable
1100031,2015,1100031,stable
1100049,2015,1100049,stable
1100056,2015,1100056,stable
1100064,2015,1100064,stable
1100072,2015,1100072,stable
1100080,2015,1100080,stable
1100098,2015,1100098,stable
1100106,2015,1100106,stable
1100114,2015,1100114,stable
1100122,2015,1100122,stable
1100130,2015,1100130,stable
1100148,2015,1100148,stable
1100155,2015,1100155,stable
1100189,2015,1100189,stable
1100205,2015,1100205,stable
1100254,2015,1100254,stable
1100262,2015,1100262,stable
1100288,2015,1100288,stable
1100296,2015,1100296,stable
1100304,2015,1100304,stable
1100320,2015,1100320,stable
1100338,2015,1100338,stable
1100346,2015,1100346,stable
1100379,2015,1100379,stable
1100403,2015,1100403,stable
1100452,2015,1100452,stable
1100502,2015,1100502,stable
1100601,2015,1100601,stable
1100700,2015,1100700,stable
1100809,2015,1100809,stable
1100908,2015,1100908,stable
1100924,2015,1100924,stable
1100940,2015,1100940,stable
1101005,2015,1101005,stable
1101104,2015,1101104,stable
1101203,2015,1101203,stable
1101302,2015,1101302,stable
1101401,2015,1101401,stable
1101435,2015,1101435,stable
1101450,2015,1101450,stable
1101468,2015,1101468,stable
1101476,2015,1101476,stable
1101484,2015,1101484,stable
1101492,2015,1101492,stable
1101500,2015,1101500,stable
1101559,2015,1101559,stable
1101609,2015,1101609,stable
1101708,2015,1101708,stable
1101757,2015,1101757,stable
1101807,2015,1101807,stable
1200013,2015,1200013,stable
1200054,2015,1200054,stable
1200104,2015,1200104,stable
1200138,2015,1200138,stable
1200179,2015,1200179,stable
1200203,2015,1200203,stable
1200252,2015,1200252,stable
1200302,2015,1200302,stable
1200328,2015,1200328,stable
1200336,2015,1200336,stable
1200344,2015,1200344,stable
1200351,2015,1200351,stable
1200385,2015,1200385,stable
1200393,2015,1200393,stable
1200401,2015,1200401,stable
1200427,2015,1200427,stable
1200435,2015,1200435,stable
1200450,2015,1200450,stable
1200500,2015,1200500,stable
1200609,2015,1200609,stable
1200708,2015,1200708,stable
1200807,2015,1200807,stable
1300029,2015,1300029,stable
1300060,2015,1300060,stable
1300086,2015,1300086,stable
1300102,2015,1300102,stable
1300144,2015,1300144,stable
1300201,2015,1300201,stable
1300300,2015,1300300,stable
1300409,2015,1300409,stable
1300508,2015,1300508,stable
1300607,2015,1300607,stable
1300631,2015,1300631,stable
1300680,2015,1300680,stable
1300706,2015,1300706,stable
