region,variable,mean,median,q25,q75,iqr,n
Norte,cuds,0.0763794587219882,0.063953662749547,0.04678337990841551,0.09223702824232373,0.04545364833390822,4050
Nordeste,cuds,0.08773738075590544,0.07422946792906071,0.05549127876634746,0.09779831165317146,0.042307032886824,16146
Sudeste,cuds,0.18699635348020036,0.16700378761159487,0.12946757135540055,0.21519841500807443,0.08573084365267389,15012
Sul,cuds,0.15760100242635564,0.14310139595043073,0.11039279717982506,0.18503067280237276,0.0746378756225477,10719
Centro-Oeste,cuds,0.1392703641713544,0.12363548868268441,0.09202037531041297,0.16801478217890564,0.07599440686849267,4203
Norte,lcogs1_distance_km,259.2424889542234,184.5832345494116,121.07052345156383,381.475823062623,260.4052996110592,4050
Nordeste,lcogs1_distance_km,90.61430955507602,70.8911037758794,41.24705096232244,114.22759021463366,72.98053925231122,16146
Sudeste,lcogs1_distance_km,94.8654422965133,88.57158983725525,55.97992193288493,124.26228753091107,68.28236559802613,15012
Sul,lcogs1_distance_km,88.18184046074312,82.54549299848043,52.68405603113428,113.35260795656897,60.66855192543469,10719
Centro-Oeste,lcogs1_distance_km,193.2688475243044,169.56287038482057,100.36741000339268,274.2871754817342,173.91976547834153,4203
Norte,sao_per_100k,0.0,0.0,0.0,0.0,0.0,3600
Nordeste,sao_per_100k,0.0,0.0,0.0,0.0,0.0,14352
Sudeste,sao_per_100k,0.0,0.0,0.0,0.0,0.0,13344
Sul,sao_per_100k,0.0,0.0,0.0,0.0,0.0,9528
Centro-Oeste,sao_per_100k,0.0,0.0,0.0,0.0,0.0,3736
Norte,surgical_volume_per_100k,4383.423892953323,3936.911602885438,2180.0341296928327,5945.539502658575,3765.505372965742,2101
Nordeste,surgical_volume_per_100k,4078.025213982843,2625.124897810882,1069.703243616287,5873.892048903957,4804.18880528767,7677
Sudeste,surgical_volume_per_100k,5490.767302597418,4638.541359649568,2789.5794928600435,6858.227763964081,4068.648271104037,5783
Sul,surgical_volume_per_100k,6770.789077130045,5598.129627224315,3395.456565357321,8443.586554640766,5048.129989283445,4321
Centro-Oeste,surgical_volume_per_100k,4543.9566268174885,4020.9896882055036,2503.016071317152,5861.078928979985,3358.062857662833,2199
Norte,pomr,0.011735656474549694,0.006593406593406593,0.0,0.01735859986070931,0.01735859986070931,2088
Nordeste,pomr,0.024912907297649806,0.015298379453305345,0.0,0.03890027322404371,0.03890027322404371,7596
Sudeste,pomr,0.04937407141647771,0.04695521037681509,0.029081859666187232,0.06445225739595849,0.035370397729771255,5772
Sul,pomr,0.03957687679658864,0.0344574780058651,0.018565793527177625,0.05523792224924229,0.03667212872206466,4303
Centro-Oeste,pomr,0.021042640553026386,0.015483870967741935,0.004724409448818898,0.030226700251889168,0.02550229080307027,2189
Norte,financial_risk_ratio,0.03364119506733167,0.030950913899495867,0.0207554711956034,0.04519175061655229,0.024436279420948892,2101
Nordeste,financial_risk_ratio,0.04904959597085349,0.04747404742971352,0.03605779829930628,0.05910496255907687,0.02304716425977059,7677
Sudeste,financial_risk_ratio,0.030477581973122118,0.02524016011686316,0.016781262541099108,0.039001936051238986,0.022220673510139878,5783
Sul,financial_risk_ratio,0.022519595514013873,0.018295141120798546,0.01298465164746422,0.026415074463141886,0.013430422815677667,4321
Centro-Oeste,financial_risk_ratio,0.018306410880233877,0.014764061553633847,0.009579117770220812,0.021818983180718225,0.012239865410497413,2199
Norte,catastrophic_expenditure,0.004283674440742504,0.0,0.0,0.0,0.0,2101
Nordeste,catastrophic_expenditure,0.016542920411619123,0.0,0.0,0.0,0.0,7677
Sudeste,catastrophic_expenditure,0.011066920283589833,0.0,0.0,0.0,0.0,5783
Sul,catastrophic_expenditure,0.006017125665355242,0.0,0.0,0.0,0.0,4321
Centro-Oeste,catastrophic_expenditure,0.0068212824010914054,0.0,0.0,0.0,0.0,2199
