region,variable,mean,median,q25,q75,iqr,n
Norte,cuds,0.06951119596633568,0.06105164957843651,0.05023712340311934,0.08140679140368126,0.031169668000561923,3150
Nordeste,cuds,0.07658886346669665,0.07344700942089619,0.05157979832012975,0.09512966739563382,0.043549869075504066,12558
Sudeste,cuds,0.1509191157395497,0.15026208682563358,0.12329724108014226,0.17764426776734069,0.05434702668719843,11676
Sul,cuds,0.1298625700665981,0.12652293162774386,0.08947940123308357,0.16518161740598222,0.07570221617289866,8337
Centro-Oeste,cuds,0.11167043058513246,0.10336844280894752,0.07389675353886974,0.1400256976620617,0.06612894412319195,3276
Norte,lcogs1_distance_km,259.25528072960253,184.58166781461398,121.07743980040699,381.47787489913793,260.40043509873095,3150
Nordeste,lcogs1_distance_km,90.62258345146503,71.00837677660726,41.250675435487224,114.18635462614036,72.93567919065313,12558
Sudeste,lcogs1_distance_km,94.8658998527491,88.56333208118157,55.95883957139851,124.26516304445805,68.30632347305954,11676
Sul,lcogs1_distance_km,88.1820572499082,82.56715595462997,52.68369913874892,113.34629456756313,60.662595428814214,8337
Centro-Oeste,lcogs1_distance_km,193.26751713379093,169.5466448161264,100.35649290663572,274.2793445239141,173.9228516172784,3269
Norte,sao_per_100k,0.0,0.0,0.0,0.0,0.0,3150
Nordeste,sao_per_100k,0.0,0.0,0.0,0.0,0.0,12558
Sudeste,sao_per_100k,0.0,0.0,0.0,0.0,0.0,11676
Sul,sao_per_100k,0.0,0.0,0.0,0.0,0.0,8337
Centro-Oeste,sao_per_100k,0.0,0.0,0.0,0.0,0.0,3269
Norte,surgical_volume_per_100k,4383.423892953323,3936.911602885438,2180.0341296928327,5945.539502658575,3765.505372965742,2101
Nordeste,surgical_volume_per_100k,4078.025213982843,2625.124897810882,1069.703243616287,5873.892048903957,4804.18880528767,7677
Sudeste,surgical_volume_per_100k,5490.767302597418,4638.541359649568,2789.5794928600435,6858.227763964081,4068.648271104037,5783
Sul,surgical_volume_per_100k,6770.789077130045,5598.129627224315,3395.456565357321,8443.586554640766,5048.129989283445,4321
Centro-Oeste,surgical_volume_per_100k,4543.9566268174885,4020.9896882055036,2503.016071317152,5861.078928979985,3358.062857662833,2199
Norte,pomr,0.011735656474549694,0.006593406593406593,0.0,0.01735859986070931,0.01735859986070931,2088
Nordeste,pomr,0.024912907297649806,0.015298379453305345,0.0,0.03890027322404371,0.03890027322404371,7596
Sudeste,pomr,0.04937407141647771,0.04695521037681509,0.029081859666187232,0.06445225739595849,0.035370397729771255,5772
Sul,pomr,0.03957687679658864,0.0344574780058651,0.018565793527177625,0.05523792224924229,0.03667212872206466,4303
Centro-Oeste,pomr,0.021042640553026386,0.015483870967741935,0.004724409448818898,0.030226700251889168,0.02550229080307027,2189
Norte,financial_risk_ratio,0.03364119506733167,0.030950913899495863,0.020755471195603403,0.045191750616552284,0.02443627942094888,2101
Nordeste,financial_risk_ratio,0.04904959597085349,0.04747404742971352,0.03605779829930628,0.059104962559076865,0.023047164259770582,7677
Sudeste,financial_risk_ratio,0.030477581973122118,0.02524016011686316,0.016781262541099108,0.039001936051238986,0.022220673510139878,5783
Sul,financial_risk_ratio,0.022519595514013873,0.01829514112079855,0.01298465164746422,0.026415074463141886,0.013430422815677667,4321
Centro-Oeste,financial_risk_ratio,0.018306410880233877,0.014764061553633846,0.009579117770220812,0.021818983180718225,0.012239865410497413,2199
Norte,catastrophic_expenditure,0.004283674440742504,0.0,0.0,0.0,0.0,2101
Nordeste,catastrophic_expenditure,0.016542920411619123,0.0,0.0,0.0,0.0,7677
Sudeste,catastrophic_expenditure,0.011066920283589833,0.0,0.0,0.0,0.0,5783
Sul,catastrophic_expenditure,0.006017125665355242,0.0,0.0,0.0,0.0,4321
Centro-Oeste,catastrophic_expenditure,0.0068212824010914054,0.0,0.0,0.0,0.0,2199
